,Round,Result,FSP.1,FSW.1,SSP.1,SSW.1,ACE.1,DBF.1,WNR.1,UFE.1,BPC.1,BPW.1,NPA.1,NPW.1,FSP.2,FSW.2,SSP.2,SSW.2,ACE.2,DBF.2,WNR.2,UFE.2,BPC.2,BPW.2,NPA.2,NPW.2,slam_code,Sex
75,2,0,55,55,45,36,14.0,5.0,48.0,46.0,3.0,7.0,14.0,21.0,60,59,40,33,19.0,3.0,48.0,41.0,4.0,11.0,29.0,42.0,1,2
35,1,0,68,23,32,6,1.0,4.0,15.0,31.0,1.0,3.0,7.0,11.0,67,27,33,8,4.0,1.0,18.0,16.0,5.0,8.0,9.0,16.0,1,1
57,1,0,70,73,30,28,6.0,2.0,52.0,60.0,12.0,8.0,35.0,21.0,69,69,31,22,9.0,2.0,50.0,59.0,25.0,9.0,52.0,35.0,3,2
52,1,0,65,39,35,17,4.0,2.0,35.0,29.0,3.0,10.0,17.0,22.0,57,48,43,27,5.0,1.0,36.0,30.5,4.0,10.0,18.0,22.0,4,2
105,1,0,61,63,39,26,10.0,3.0,35.0,29.0,7.0,16.0,39.0,55.0,59,66,41,28,10.0,3.0,36.0,30.5,6.0,12.0,25.0,43.0,4,2
102,3,0,52,30,48,19,0.0,2.0,25.0,38.0,3.0,7.0,18.0,25.0,57,27,43,20,2.0,1.0,30.0,28.0,4.0,9.0,17.0,22.0,2,1
2,1,0,63,16,37,4,3.0,6.0,3.0,6.0,0.0,2.0,9.0,9.5,60,26,40,7,5.0,0.0,5.0,0.0,5.0,14.0,9.0,9.0,1,1
118,1,1,58,55,42,27,14.0,6.0,35.0,29.0,6.0,11.0,11.0,15.0,58,51,42,19,3.0,3.0,36.0,30.5,3.0,6.0,29.0,42.0,4,2
13,1,1,67,28,33,9,3.0,4.0,23.0,16.0,9.0,4.0,18.0,13.0,62,18,38,11,2.0,2.0,10.0,14.0,1.0,0.0,10.0,6.0,3,1
54,1,1,65,48,35,13,6.0,4.0,27.0,41.0,5.0,9.0,12.0,15.0,61,32,39,21,2.0,2.0,16.0,33.0,1.0,4.0,14.0,23.0,2,2
122,6,1,60,35,40,23,3.0,1.0,24.0,21.0,6.0,17.0,17.0,22.0,58,37,42,17,6.0,3.0,31.0,56.0,2.0,5.0,7.0,16.0,2,2
73,2,1,60,74,40,30,22.0,10.0,76.0,73.0,5.0,14.0,24.0,38.0,71,81,29,22,15.0,2.0,43.0,36.0,4.0,12.0,19.0,24.0,1,2
92,2,0,70,37,30,8,7.0,3.0,17.0,49.0,1.0,5.0,4.0,7.0,64,43,36,15,5.0,3.0,30.0,27.0,6.0,12.0,10.0,14.0,1,2
54,1,1,46,38,54,29,8.0,7.0,35.0,29.0,10.0,19.0,14.0,27.0,49,32,51,28,14.0,10.0,36.0,30.5,7.0,12.0,12.0,25.0,4,2
33,1,1,60,44,40,19,5.0,3.0,35.0,29.0,5.0,9.0,17.0,22.0,52,33,48,19,9.0,4.0,36.0,30.5,2.0,7.0,18.0,22.0,4,2
107,5,0,59,63,41,29,11.0,9.0,45.0,45.0,7.0,3.0,45.0,26.0,69,72,31,23,14.0,3.0,36.0,27.0,11.0,5.0,31.0,22.0,3,2
10,1,0,73,19,27,6,1.0,0.0,7.0,10.0,8.0,0.0,4.0,2.0,64,28,36,14,6.0,1.0,33.0,25.0,4.0,3.0,7.0,5.0,3,1
94,2,0,58,48,42,23,5.0,9.0,34.0,37.0,1.0,1.0,16.0,29.0,62,47,38,23,13.0,3.0,39.0,30.0,4.0,11.0,20.0,26.0,1,2
58,1,1,60,31,40,15,2.0,5.0,21.0,23.0,9.0,4.0,7.0,6.0,74,25,26,3,4.0,5.0,21.0,40.0,10.0,1.0,10.0,8.0,4,1
18,1,0,50,39,50,26,10.0,3.0,28.0,38.0,1.0,3.0,17.0,31.0,58,42,42,23,7.0,4.0,37.0,31.0,5.0,16.0,12.0,12.0,1,2
37,1,0,59,24,41,11,4.0,3.0,13.0,26.0,0.0,0.0,1.0,2.0,58,26,42,15,5.0,1.0,21.0,18.0,2.0,6.0,9.0,10.0,2,1
21,1,1,54,23,46,19,1.0,4.0,18.0,17.0,13.0,2.0,21.0,14.0,58,28,42,16,4.0,6.0,18.0,27.0,1.0,0.0,10.0,7.0,3,1
41,1,0,58,63,42,20,19.0,5.0,53.0,44.0,17.0,4.0,47.0,32.0,61,63,39,35,5.0,3.0,44.0,31.0,15.0,7.0,47.0,31.0,3,2
12,1,0,63,20,37,9,2.0,4.0,14.0,19.0,0.0,0.0,7.0,5.0,82,30,18,7,2.0,0.0,19.0,8.0,7.0,3.0,11.0,9.0,3,1
110,3,0,63,26,37,11,1.0,5.0,29.0,37.0,4.0,13.0,9.0,22.0,62,32,38,18,4.0,2.0,34.0,25.0,6.0,12.0,8.0,16.0,2,1
68,2,1,68,54,32,24,7.0,0.0,53.0,10.0,14.0,5.0,19.0,15.0,77,68,23,11,10.0,3.0,35.0,21.0,3.0,1.0,70.0,33.0,3,2
74,1,1,64,39,36,12,9.0,3.0,35.0,29.0,7.0,11.0,9.0,15.0,65,34,35,10,4.0,3.0,36.0,30.5,2.0,10.0,23.0,43.0,4,2
94,1,1,58,39,42,18,9.0,2.0,35.0,29.0,7.0,12.0,14.0,21.0,57,29,43,13,11.0,9.0,36.0,30.5,3.0,9.0,12.0,22.0,4,2
80,2,0,64,11,36,5,2.0,2.0,14.0,26.0,1.0,5.0,4.0,11.0,87,28,13,3,2.0,0.0,22.0,7.0,6.0,10.0,9.0,11.0,2,1
124,6,0,72,28,28,8,3.0,0.0,15.0,22.0,5.0,10.0,8.0,10.0,62,41,38,10,12.0,11.0,42.0,39.0,6.0,10.0,2.0,6.0,2,1
24,1,0,69,15,31,4,0.0,1.0,6.0,24.0,0.0,2.0,5.0,8.0,51,19,49,12,2.0,4.0,24.0,14.0,5.0,11.0,3.0,5.0,2,1
53,1,0,60,46,40,17,8.0,11.0,8.0,11.0,5.0,24.0,9.0,9.5,66,54,34,23,5.0,5.0,5.0,5.0,6.0,14.0,9.0,9.0,1,1
57,1,1,69,24,31,4,2.0,7.0,17.0,26.0,10.0,7.0,4.0,3.0,56,19,44,15,2.0,7.0,19.0,48.0,5.0,4.0,9.0,6.0,3,1
121,7,0,65,22,35,9,6.0,5.0,21.0,25.0,8.0,2.0,18.0,11.0,67,31,33,7,2.0,6.0,15.0,14.0,13.0,5.0,11.0,9.0,3,1
82,2,1,66,52,34,18,19.0,6.0,50.0,33.0,3.0,6.0,13.0,25.0,62,46,38,16,4.0,3.0,25.0,26.0,0.0,8.0,17.0,24.0,2,2
